day,p5,p25,p50,p75,p95
330,18201.95491029155,20978.24502913506,22903.920134548818,24773.84545900774,27605.545059364027
331,18246.142785331023,21022.594681991643,22948.66118813547,24824.756602332724,27658.84769480675
332,18290.59494058355,21055.081228626415,22991.51046367982,24856.52817144371,27714.49604095366
333,18339.73069589467,21111.47000829046,23030.469925582613,24896.93320761293,27734.013538308114
334,18381.01050036784,21160.876920490246,23079.49849582862,24937.28252618136,27775.333604848605
335,18410.97091946546,21179.09999097944,23116.705676849015,24964.15989471966,27804.424701401254
336,18413.06096508416,21215.86403380282,23149.51896777039,25037.385667169667,27851.518328756727
337,18439.18389741462,21264.343208842984,23201.12064573414,25060.020659218746,27901.302598711292
338,18468.891913916632,21282.78906085684,23226.125896726582,25118.230004282115,27964.685281355036
339,18509.984362114283,21314.285895270565,23258.35272848252,25168.310915484457,27992.825726394705
340,18560.041493994628,21344.199074803902,23308.460925801526,25198.436546098223,28086.089109024993
341,18577.667157862765,21386.14078366001,23355.125119284592,25269.03910008468,28115.175314954642
342,18598.99106368657,21433.529331542868,23395.73630866891,25295.81538921755,28155.491334839942
343,18628.003408443365,21471.94891657078,23436.755522494648,25336.292416409306,28218.804702262103
344,18644.799333663388,21500.324600530334,23469.722270723425,25373.58290249059,28285.228941313206
345,18674.072834126633,21535.130094525088,23508.181538456633,25417.714896911544,28313.890938442204
346,18713.316255591926,21568.986493203407,23544.998326760244,25459.018227601024,28345.999341927025
347,18719.43328757984,21595.130204163797,23565.44777885465,25487.000602124754,28400.67314720154
348,18763.56102903794,21627.317673273916,23613.435761725512,25537.953547356574,28410.11261619368
349,18793.065813896563,21675.436702565472,23652.648769212028,25579.39296965226,28466.327485189755
350,18827.358682438688,21725.455953614328,23690.64729213548,25635.371091959423,28519.970838415928
351,18843.546780200697,21765.402498346404,23733.262715517976,25661.647856937383,28543.93069827216
352,18855.67246852656,21800.0448594762,23762.80886750879,25709.98041918723,28578.34573088718
353,18903.140744420663,21843.27516079044,23800.86508973444,25741.383986488196,28616.322839163215
354,18941.687837445497,21874.727756726305,23841.45497117061,25776.170248090937,28680.317866540398
355,18981.46077388383,21916.107792977542,23881.22743493718,25827.49275145112,28722.062547638794
356,19018.575141376565,21944.55831025099,23914.711652190224,25883.163410949666,28786.288406620126
357,19081.50523548181,21981.55805665015,23941.807950551447,25942.70311388905,28825.564959307016
358,19110.80499681918,22034.74561206338,24003.24722346785,25977.022394475374,28886.046670954187
359,19153.227756055403,22071.727762455746,24045.609601618227,26011.56654928894,28930.734640057355
360,19161.74975318497,22091.0419009459,24084.329030185734,26062.495263563076,28963.854810082987
361,19181.91836532801,22110.70833925868,24142.235201614654,26103.49972151569,29029.606407316845
362,19204.286309564657,22147.145825367268,24181.40749792121,26150.00639995669,29075.70640761352
363,19227.40150521193,22175.924835278995,24206.865826206937,26199.676432941087,29120.15102615662
364,19242.548941925263,22198.76812700783,24255.568859227016,26238.324633579265,29169.786234334064
365,19320.46415394806,22242.75288989161,24296.594979261194,26276.594223731765,29201.443748027003
