market_id,asset,slug,market_end_time_utc,cp1_time_utc,cp2_time_utc,cp1_fut,cp2_fut,momentum,signal,token_id,entry_time_utc,entry_price,resolved_label,payout_per_share,pnl_per_share,source_side,notional_pnl,base_stake_usd,base_shares,base_pnl_usd,fut_1230_price,fut_1430_price,add20_1230_triggered,add20_1430_triggered,add20_1230_stake_usd,add20_1430_stake_usd,add20_1230_entry_price,add20_1430_entry_price,add20_1230_pnl_usd,add20_1430_pnl_usd,new_total_stake_usd,new_total_pnl_usd
731208,SPX,spx-up-or-down-on-december-1-2025,2025-12-01 21:00:00+00:00,2025-12-01 15:00:00+00:00,2025-12-01 15:30:00+00:00,6841.5,6821.0,-20.5,Down,24739892577011684391737346178486814201141594977232374692049653932012418912800,2025-12-01 15:30:00+00:00,0.74,Down,1.0,0.26,last_le_cp2,0.26,100.0,135.13513513513513,35.13513513513514,6843.5,6830.5,True,True,20.0,20.0,0.68,0.995,9.411764705882351,0.10050251256281417,140.0,44.647402353580304
731221,NDX,ndx-up-or-down-on-december-1-2025,2025-12-01 21:00:00+00:00,2025-12-01 15:00:00+00:00,2025-12-01 15:30:00+00:00,25371.0,25314.0,-57.0,Down,22914950590250461546336207085736825411983582030753378045337226087653394823794,2025-12-01 15:30:00+00:00,0.865,Down,1.0,0.135,last_le_cp2,0.135,100.0,115.60693641618498,15.606936416184974,25443.25,25391.0,True,True,20.0,20.0,0.62,0.795,12.258064516129032,5.157232704402515,140.0,33.02223363671652
786182,SPX,spx-up-or-down-on-december-2-2025,2025-12-02 21:00:00+00:00,2025-12-02 15:00:00+00:00,2025-12-02 15:30:00+00:00,6850.5,6841.25,-9.25,Down,40152261961782858512374547300047827255712687136414894286874080835810461289882,2025-12-02 15:30:00+00:00,0.14499999,Up,0.0,-0.14499999,last_le_cp2,-0.14499999,100.0,689.655219976222,-100.0,6851.0,6840.5,True,False,20.0,0.0,0.265,,-20.0,0.0,120.0,-120.0
786226,NDX,ndx-up-or-down-on-december-2-2025,2025-12-02 21:00:00+00:00,2025-12-02 15:00:00+00:00,2025-12-02 15:30:00+00:00,25618.0,25576.75,-41.25,Down,70494031414965186173244085220819658404109588025366805615783769398115266733176,2025-12-02 15:30:00+00:00,0.095,Up,0.0,-0.095,last_le_cp2,-0.095,100.0,1052.6315789473683,-99.99999999999999,25611.25,25594.75,True,True,20.0,20.0,0.16,0.12,-20.0,-20.0,140.0,-140.0
796947,SPX,spx-up-or-down-on-december-3-2025,2025-12-03 21:00:00+00:00,2025-12-03 15:00:00+00:00,2025-12-03 15:30:00+00:00,6836.0,6839.5,3.5,Up,55760498801231888276230723471152561899591564038058827893246910622624057293643,2025-12-03 15:30:00+00:00,0.43,Up,1.0,0.5700000000000001,last_le_cp2,0.5700000000000001,100.0,232.55813953488374,132.55813953488374,6859.25,6867.0,True,True,20.0,20.0,0.625,0.979,12.0,0.4290091930541373,140.0,144.98714872793786
796968,NDX,ndx-up-or-down-on-december-3-2025,2025-12-03 21:00:00+00:00,2025-12-03 15:00:00+00:00,2025-12-03 15:30:00+00:00,25517.25,25518.75,1.5,Up,86679681767008612602968789547376882195073740158086161941140641676165689331285,2025-12-03 15:30:00+00:00,0.335,Up,1.0,0.665,last_le_cp2,0.665,100.0,298.5074626865671,198.50746268656715,25611.5,25648.75,True,True,20.0,20.0,0.51,0.695,19.215686274509807,8.77697841726619,140.0,226.50012737834314
808147,NDX,ndx-up-or-down-on-december-4-2025,2025-12-04 21:00:00+00:00,2025-12-04 15:00:00+00:00,2025-12-04 15:30:00+00:00,25562.75,25597.5,34.75,Up,52596542282137075361041051947160555683162092283062121239936843168871896533550,2025-12-04 15:30:00+00:00,0.28,Down,0.0,-0.28,last_le_cp2,-0.28,100.0,357.1428571428571,-100.0,25597.5,25538.0,False,False,0.0,0.0,,,0.0,0.0,100.0,-100.0
808141,SPX,spx-up-or-down-on-december-4-2025,2025-12-04 21:00:00+00:00,2025-12-04 15:00:00+00:00,2025-12-04 15:30:00+00:00,6854.75,6860.0,5.25,Up,96986805245529653809504982357428959777429576258274767895681761752523456781283,2025-12-04 15:30:00+00:00,0.44,Up,1.0,0.56,last_le_cp2,0.56,100.0,227.27272727272728,127.2727272727273,6862.0,6845.5,True,False,20.0,0.0,0.56999999,,15.087719913819647,0.0,120.0,142.36044718654693
819480,NDX,ndx-up-or-down-on-december-5-2025,2025-12-05 21:00:00+00:00,2025-12-05 15:00:00+00:00,2025-12-05 15:30:00+00:00,25776.5,25845.75,69.25,Up,53308087236504001916269407801782538355807391179979214673051549222352670136198,2025-12-05 15:30:00+00:00,0.895,Up,1.0,0.1049999999999999,last_le_cp2,0.1049999999999999,100.0,111.73184357541899,11.731843575418983,25697.0,25721.0,False,False,0.0,0.0,,,0.0,0.0,100.0,11.731843575418983
819475,SPX,spx-up-or-down-on-december-5-2025,2025-12-05 21:00:00+00:00,2025-12-05 15:00:00+00:00,2025-12-05 15:30:00+00:00,6889.5,6901.25,11.75,Up,8751811483743240790178867821129090175803909920359163613740314549563125359816,2025-12-05 15:30:00+00:00,0.875,Up,1.0,0.125,last_le_cp2,0.125,100.0,114.28571428571429,14.285714285714286,6874.75,6880.5,False,False,0.0,0.0,,,0.0,0.0,100.0,14.285714285714286
